X...,base,title,type,name,source_name_ch1,mem,fraction_myeloid,fraction_lymphoid,bcell.ch1,bmem.ch1,bnv.ch1,cd4mem.ch1,cd4nv.ch1,cd4t.ch1,cd8t.ch1,eos.ch1,gran.ch1,mono.ch1,neu.ch1,nk.ch1,treg.ch1,RepliTali,LymphoTali,MyeloTali,sl.LymphoTali,sl.MyeloTali,pcgtAge,hypoSC,epiTOC2.tnsc,epiTOC2.tnsc2,epiCMIT,MiAge
GSM5121357,X204361730134_R08C01,mem mix5,mix,mix,artificial mixture of purified leukocytes,0.252,0.307447486,0.692552514,0.108,0.044,0.064,0.208,0.108,0.316,0.162,0.065,0.241,0.095,0.082,0.078,0,6.093135377,27.8403769,4.964880328,31.11500608,20.92684496,0.093154358,0.91101533,3283.701238,4649.640658,0.222443847,1061.566574
GSM5121358,X204361730134_R05C01,mem mix10,mix,mix,artificial mixture of purified leukocytes,0.288,0.242526791,0.757473209,0.26,0.163,0.097,0,0.184,0.309,0.158,0.129,0.204,0.022,0.075,0.047,0.125,8.106552081,30.27531037,3.570579041,32.72207177,20.88261191,0.109464733,0.910174695,4049.498168,5388.298517,0.234312499,1153.31485
GSM5121359,X204361730134_R03C01,mem mix14,mix,mix,artificial mixture of purified leukocytes,0.348,0.15051174,0.84948826,0.278,0.165,0.113,0.082,0.105,0.288,0.154,0.058,0.095,0.06,0.037,0.125,0.101,12.08218613,34.6721653,2.90037653,36.7287267,22.13343603,0.113812491,0.90011626,4334.72223,5663.347381,0.268808701,1233.296333
GSM5121360,X204361730134_R02C01,mem mix9,mix,mix,artificial mixture of purified leukocytes,0.211,0.414201183,0.585798817,0.198,0.051,0.147,0,0.033,0.193,0.14,0.227,0.299,0.102,0.072,0.068,0.16,4.952715436,25.08105036,6.338380001,29.93637445,20.83972312,0.091032277,0.910348858,3058.554025,4434.210106,0.214352605,974.6438539
GSM5121361,X204361730134_R01C01,mem mix13,mix,mix,artificial mixture of purified leukocytes,0.279,0.261376896,0.738623104,0.16,0.073,0.087,0.054,0.14,0.346,0.15,0.162,0.208,0.032,0.046,0.104,0.152,8.003598352,29.72544963,3.525183039,32.69606316,22.06720784,0.098733083,0.904153809,3601.340775,4956.484497,0.23308575,1108.912305
GSM5121362,X204361720136_R07C01,mem mix7,mix,mix,artificial mixture of purified leukocytes,0.172,0.392241379,0.607758621,0.256,0.112,0.144,0,0.08,0.14,0.138,0.108,0.228,0.181,0.12,0.057,0.06,3.264089634,22.39110492,6.152867142,27.9453514,20.23281053,0.092547353,0.92039737,3142.708874,4513.067269,0.197813296,977.0359265
GSM5121363,X204361720136_R06C01,mem mix16,mix,mix,artificial mixture of purified leukocytes,0.25,0.293134328,0.706865672,0.16,0.036,0.124,0.114,0.148,0.362,0.112,0.086,0.285,0.053,0.067,0.028,0.1,5.3210612,26.41619984,5.428508351,30.13312619,20.26165125,0.090446431,0.915056028,3064.230736,4437.666902,0.212660413,1062.490166
GSM5121364,X204361720136_R05C01,mem mix4,mix,mix,artificial mixture of purified leukocytes,0.211,0.338973162,0.661026838,0.21,0.133,0.077,0.078,0.168,0.246,0.113,0.2,0.258,0.065,0.058,0.108,0,5.132025301,26.45402162,4.841932038,29.8962779,19.91369153,0.099380906,0.917065434,3586.002008,4942.169922,0.211622211,1053.638376
GSM5121365,X204361720136_R04C01,mem mix8,mix,mix,artificial mixture of purified leukocytes,0.186,0.345619335,0.654380665,0.185,0.075,0.11,0,0.099,0.21,0.203,0.106,0.26,0.052,0.154,0.09,0.111,5.806737451,26.66676064,5.013563951,30.49764531,20.90925834,0.096942366,0.912111044,3473.806108,4832.465067,0.216724949,1057.447333
GSM5121366,X204361720136_R03C01,mem mix1,mix,mix,artificial mixture of purified leukocytes,0.214,0.218323587,0.781676413,0.225,0.084,0.141,0.13,0.057,0.187,0.209,0.039,0.127,0.082,0.088,0.17,0,4.59872258,27.82725807,3.705632136,30.52006717,20.75185867,0.098575137,0.913886173,3537.476508,4894.116034,0.216330074,1098.884981
