"","Value","SE","Coefficient"
"(Intercept)",43.6613164719097,NA,"(Intercept)"
"cg00329157",-0.00605874077169592,NA,"cg00329157"
"cg00519063",-0.244447402582615,NA,"cg00519063"
"cg01185443",-0.107813483789793,NA,"cg01185443"
"cg01207684",-1.12750317497614,NA,"cg01207684"
"cg02453013",-0.0907365247377902,NA,"cg02453013"
"cg03325063",-2.3489951882502,NA,"cg03325063"
"cg03490228",-0.386035890938953,NA,"cg03490228"
"cg03791177",-0.111257469178756,NA,"cg03791177"
"cg04249754",1.46755903224311,NA,"cg04249754"
"cg04349839",-0.00924632120110747,NA,"cg04349839"
"cg05268245",-0.4961624019445,NA,"cg05268245"
"cg05478677",-0.82218351929528,NA,"cg05478677"
"cg05692712",0.000159911448448798,NA,"cg05692712"
"cg05816365",0.593773144631849,NA,"cg05816365"
"cg05951776",-0.110644661926841,NA,"cg05951776"
"cg06094959",-0.0672262932976094,NA,"cg06094959"
"cg06338697",-2.5798505484468,NA,"cg06338697"
"cg06394460",-0.119266284851157,NA,"cg06394460"
"cg06588562",-0.513885869572308,NA,"cg06588562"
"cg06721294",-0.0820568952818445,NA,"cg06721294"
"cg06857116",-0.037684280873447,NA,"cg06857116"
"cg07095384",-1.07453263826932,NA,"cg07095384"
"cg07291349",-0.144104867072972,NA,"cg07291349"
"cg07545084",-0.497212581028651,NA,"cg07545084"
"cg07905908",0.014745395703856,NA,"cg07905908"
"cg07990343",-0.552486280732208,NA,"cg07990343"
"cg08137156",-0.575511253676628,NA,"cg08137156"
"cg08148074",-0.104586205652355,NA,"cg08148074"
"cg08151651",-0.15636501916303,NA,"cg08151651"
"cg09012125",-0.00157499783570193,NA,"cg09012125"
"cg09082134",-0.0506214538474348,NA,"cg09082134"
"cg09282316",-0.196122621235171,NA,"cg09282316"
"cg09447675",-0.028812710473338,NA,"cg09447675"
"cg09617591",-0.706910239667696,NA,"cg09617591"
"cg09818739",-0.136346836126184,NA,"cg09818739"
"cg10161434",-0.188392388609557,NA,"cg10161434"
"cg10363550",-0.282119029759152,NA,"cg10363550"
"cg10400707",-3.03121156662758,NA,"cg10400707"
